"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-1680","Un nombre nomenclaturalmente disponible o válidamente publicado cumple los requisitos del código que le resulta aplicable.","nombre nomenclatural","cumple_requisitos_de*","código aplicable","expresa","S378 arts. 10–11 [sin localizar con mayor precisión]; S379 Principios y reglas de publicación [sin localizar con mayor precisión]; S380 reglas de publicación [sin localizar con mayor precisión]","no evaluado","alta","Los tres códigos de rangos separan la publicación nomenclatural de la aceptación taxonómica.","resuelta","vigente"
"C-1681","La disponibilidad o publicación válida de un nombre no establece que el taxón correspondiente sea monofilético.","nombre disponible o válidamente publicado","no_demuestra*","monofilia del taxón","sintesis(C-1680)","S378 Preámbulo; S379 Preámbulo; S380 Principios","consenso amplio","alta","Los códigos regulan nombres y actos nomenclaturales, no estiman árboles filogenéticos.","resuelta","vigente"
"C-1682","La aceptación de un taxón por una clasificación o base de datos es una decisión curatorial o comunitaria dependiente de versión.","taxón aceptado por clasificación o base de datos","depende_de*","criterio curatorial y versión","expresa","S01 introducción y clasificación; S05 tesis general [sin localizar con mayor precisión]","no evaluado","alta","Las revisiones y bases armonizan conceptos que pueden cambiar con nueva evidencia.","resuelta","vigente"
"C-1683","El respaldo filogenético de un clado depende de datos, muestreo, modelo y pruebas de artefacto.","clado filogenético","respaldado_por","análisis filogenético especificado","expresa","S137 §§Phylogenomics and artefacts; S126 Methods [sin localizar con mayor precisión]","no evaluado","media","El soporte es una propiedad inferencial y no una consecuencia del nombre.","resuelta","vigente"
"C-1684","Un nombre puede estar disponible y no ser aceptado por una clasificación vigente.","nombre nomenclatural","se_distingue_de*","taxón aceptado","sintesis(C-1680, C-1682)","S378 arts. 10–11; S01 clasificación","consenso amplio","alta","La disponibilidad persiste bajo reglas aun cuando cambie el tratamiento taxonómico.","resuelta","vigente"
"C-1685","Una clasificación puede usar un rótulo informal que no haya sido establecido bajo ningún código.","rótulo informal de clasificación","se_distingue_de*","nombre establecido por código","expresa","S01 introducción; S05 tesis general [sin localizar con mayor precisión]","no evaluado","media","Las clasificaciones necesitan etiquetas operativas y no todas son actos nomenclaturales.","resuelta","vigente"
"C-1686","Un clado puede recibir soporte filogenético antes de disponer de un nombre establecido bajo PhyloCode.","clado respaldado filogenéticamente","puede_carecer_de*","nombre establecido bajo PhyloCode","sintesis(C-1683, C-1685)","S381 arts. 7–9; S382 §§Establishment and registration","consenso amplio","alta","El descubrimiento de una relación y el establecimiento nomenclatural son procesos diferentes.","resuelta","vigente"
"C-1687","En este corpus, nombre disponible, taxón aceptado y clado respaldado se registran como propiedades independientes.","corpus Eukaryota→Holozoa","clasificado_como_por","tres capas independientes","glosa","n/a","no evaluado","alta","La separación evita convertir autoridad nomenclatural en evidencia filogenética.","resuelta","vigente"
"C-1688","El ICZN regula la nomenclatura de animales bajo su ámbito.","ICZN","regula*","nomenclatura zoológica","expresa","S378 Preámbulo [sin localizar con mayor precisión]; art. 1","no evaluado","alta","Es el código oficial de nomenclatura zoológica.","resuelta","vigente"
"C-1689","El ICZN no decide qué hipótesis filogenética o circunscripción taxonómica es correcta.","ICZN","no_regula*","aceptación taxonómica o filogenia","expresa","S378 Preámbulo [sin localizar con mayor precisión]","no evaluado","media","El código declara que su objeto es la nomenclatura.","resuelta","vigente"
"C-1690","Bajo el ICZN, un nombre disponible debe satisfacer requisitos de publicación y formación aplicables.","nombre zoológico disponible","respaldado_por","requisitos de disponibilidad","expresa","S378 arts. 10–11 [sin localizar con mayor precisión]","no evaluado","media","Los artículos enumeran condiciones formales verificables.","resuelta","vigente"
"C-1691","El artículo 23.1 del ICZN establece que el nombre válido de un taxón es el nombre disponible más antiguo aplicado a él, salvo invalidación o precedencia otorgada por el Código o la Comisión.","nombre zoológico válido","determinado_por*","nombre disponible más antiguo, con excepciones codificadas","expresa","S378 §art. 23.1, “The valid name of a taxon is the oldest available name applied to it, unless ... another name is given precedence”","no evaluado","alta","La formulación conserva la regla y sus excepciones sin presentar prioridad como criterio biológico ni como regla absoluta.","resuelta","vigente"
"C-1692","La validez nomenclatural bajo ICZN no equivale a verdad biológica del taxón.","validez bajo ICZN","no_equivale_a*","respaldo filogenético","sintesis(C-1689, C-1691)","S378 Preámbulo; art. 23","no evaluado","alta","Validez selecciona un nombre dentro de un tratamiento, no prueba su monofilia.","resuelta","vigente"
"C-1693","Metazoa y Animalia pueden funcionar como nombres de alto nivel en zoología sin que el ICZN resuelva por sí mismo su definición filogenética.","Metazoa y Animalia","clasificado_como_por","nombres zoológicos de alto nivel con circunscripción filogenética externa al código","sintesis(C-1688, C-1689)","S378 arts. 1 y 11.4; S381 art. 3","consenso amplio","media","El alcance operativo del ICZN se concentra en grupos de rango regulados; la definición de clados puede proceder de otra fuente.","parcialmente resuelta","vigente"
"C-1694","El Madrid Code es la decimoctava edición del ICN.","Madrid Code","tiene_valor_medido","18.ª edición","expresa","S379 portada y prefacio [sin localizar con mayor precisión]","no evaluado","alta","La edición está identificada por la fuente oficial.","resuelta","vigente"
"C-1695","El Madrid Code fue publicado el 21 de julio de 2025 y sustituyó al Shenzhen Code.","Madrid Code","tiene_fecha_publicacion*","21 de julio de 2025","expresa","S379 sitio oficial ICN [sin localizar con mayor precisión]","no evaluado","alta","La IAPT publica la fecha y la relación de sustitución.","resuelta","vigente"
"C-1696","El ICN regula nombres de organismos tratados tradicionalmente como algas, hongos y plantas dentro de su ámbito.","ICN","regula*","nomenclatura de algas, hongos y plantas","expresa","S379 título; Preámbulo","no evaluado","alta","El ámbito está declarado en el título y el preámbulo del código.","resuelta","vigente"
"C-1697","La aplicación histórica del ICN a un organismo no demuestra que ese organismo pertenezca a Archaeplastida o Fungi.","aplicación del ICN","no_demuestra*","posición filogenética en Archaeplastida o Fungi","sintesis(C-1696)","S379 Preámbulo; S405; S406","consenso amplio","alta","El ámbito nomenclatural conserva tratamientos históricos que pueden cruzar clados modernos.","resuelta","vigente"
"C-1698","El nombre de un oomiceto puede estar gobernado por el ICN aunque Oomycota sea un linaje de Stramenopiles.","nombre de oomiceto","clasificado_como_por","ICN sin pertenecer a Fungi","sintesis(C-1696, C-1697)","S379 Preámbulo; S405 título y síntesis","consenso amplio","alta","Código aplicable y posición filogenética responden a preguntas distintas.","resuelta","vigente"
"C-1699","La revisión 2025 del ICNP fue publicada en 2026.","ICNP 2025 Revision","tiene_fecha_publicacion*","2026","expresa","S380 metadatos bibliográficos [sin localizar con mayor precisión]","no evaluado","alta","La publicación oficial identifica volumen 76 y año 2026.","resuelta","vigente"
"C-1700","El ICNP regula la nomenclatura de procariotas dentro de su ámbito.","ICNP","regula*","nomenclatura procariótica","expresa","S380 título; General Considerations","no evaluado","alta","Es el código oficial para nombres procarióticos.","resuelta","vigente"
"C-1701","El uso de procariota en el nombre del ICNP es una delimitación nomenclatural y no convierte a “Prokaryota” en un clado.","ICNP","no_demuestra*","monofilia de procariotas","expresa","S380 título; S392 tesis general [sin localizar con mayor precisión]; S393 discusión","no evaluado","media","El nombre institucional del código no resuelve la topología celular.","resuelta","vigente"
"C-1702","Los nombres de Asgardarchaeota y de alfa-proteobacterias se evalúan bajo códigos procarióticos o sistemas complementarios, no bajo el ICZN.","nombres procarióticos del corredor","clasificado_como_por","ámbito procariótico","expresa","S380 General Considerations [sin localizar con mayor precisión]","no evaluado","media","Los participantes son arqueas y bacterias, no animales.","resuelta","vigente"
"C-1703","PhyloCode versión 6 fue ratificado en 2019 y publicado en 2020.","PhyloCode versión 6","tiene_fecha_publicacion*","2020","expresa","S381 portada y prefacio [sin localizar con mayor precisión]","no evaluado","alta","La fuente oficial distingue ratificación y publicación.","resuelta","vigente"
"C-1704","PhyloCode regula nombres de clados definidos filogenéticamente.","PhyloCode","regula*","nombres de clados","expresa","S381 preámbulo [sin localizar con mayor precisión]; arts. 1–3 y 9","no evaluado","media","El código define su objeto y los tipos de definición.","resuelta","vigente"
"C-1705","PhyloCode no asigna rangos obligatorios a los clados.","PhyloCode","no_exige*","rangos taxonómicos","expresa","S381 art. 3 [sin localizar con mayor precisión]","no evaluado","media","El artículo sobre jerarquía separa clados y rangos.","resuelta","vigente"
"C-1706","PhyloCode puede operar concurrentemente con ICZN, ICN e ICNP.","PhyloCode","compatible_con*","códigos de rangos","expresa","S381 preámbulo [sin localizar con mayor precisión]; art. 21; S382 §§Relationship to rank-based codes","no evaluado","media","Los sistemas nombran aspectos distintos y no requieren sustitución completa.","resuelta","vigente"
"C-1707","El establecimiento de un nombre bajo PhyloCode requiere una definición filogenética y el cumplimiento de requisitos de publicación y registro.","nombre establecido bajo PhyloCode","respaldado_por","definición, publicación y registro","expresa","S381 arts. 4, 7–9 [sin localizar con mayor precisión]; S382 §§Establishment and registration","consenso amplio","alta","Los requisitos están enumerados por el código y su guía.","resuelta","vigente"
"C-1708","RegNum es el registro oficial asociado con PhyloCode.","RegNum","clasificado_como_por","registro de nomenclatura filogenética","expresa","S381 art. 8 [sin localizar con mayor precisión]; S384 portada [sin localizar con mayor precisión]","no evaluado","alta","El código y la base vinculan registro y establecimiento.","resuelta","vigente"
"C-1709","La ausencia de un resultado en una búsqueda de RegNum no demuestra por sí sola que ningún autor haya usado el nombre en la literatura.","búsqueda negativa en RegNum","no_demuestra*","ausencia histórica del nombre","glosa","n/a","no evaluado","alta","El registro y la literatura general tienen coberturas distintas.","resuelta","vigente"
"C-1710","Phylonyms contiene definiciones filogenéticas iniciales asociadas con PhyloCode.","Phylonyms","clasificado_como_por","volumen de definiciones filogenéticas","expresa","S383 introducción","no evaluado","alta","Los editores describen el volumen como compañero del código.","resuelta","vigente"
"C-1711","Phylonyms no pretende contener todos los nombres de clados existentes.","Phylonyms","no_es_exhaustivo*","nombres de clados","expresa","S383 introducción","no evaluado","media","La introducción limita explícitamente la cobertura del volumen.","resuelta","vigente"
"C-1712","Phylonyms establece Eukarya con el número de registro 42.","Eukarya sensu Phylonyms","tiene_valor_medido","Registration 42","expresa","S383 entrada Eukarya, Registration 42 [sin localizar con mayor precisión]","no evaluado","alta","El número aparece en la entrada formal.","resuelta","vigente"
"C-1713","Phylonyms establece Amorphea con el número de registro 8.","Amorphea sensu Phylonyms","tiene_valor_medido","Registration 8","expresa","S383 entrada Amorphea, Registration 8 [sin localizar con mayor precisión]","no evaluado","alta","El número aparece en la entrada formal.","resuelta","vigente"
"C-1714","Phylonyms establece Opisthokonta con el número de registro 72.","Opisthokonta sensu Phylonyms","tiene_valor_medido","Registration 72","expresa","S383 entrada Opisthokonta, Registration 72 [sin localizar con mayor precisión]","no evaluado","alta","El número aparece en la entrada formal.","resuelta","vigente"
"C-1715","La consulta oficial de RegNum del 8 de agosto de 2026 devolvió “No clade names found” para Holozoa, Filozoa, Choanozoa, Apoikozoa, Obazoa, Pluriformea y Corallochytrea.","nombres del corredor consultados en RegNum","tiene_estado*","sin entrada devuelta por el registro en la fecha de consulta","expresa","S384 consultas GET https://www.phyloregnum.org/?term=Holozoa, ?term=Filozoa, ?term=Choanozoa, ?term=Apoikozoa, ?term=Obazoa, ?term=Pluriformea y ?term=Corallochytrea [sin localizar con mayor precisión]; resultado “No clade names found”; consulta 2026-08-08","no evaluado","alta","Los siete destinos de consulta se conservaron en forma reproducible y se verificó su fragmento de resultados; la observación fechada no prueba que los nombres estén ausentes de la literatura.","resuelta","vigente"
