"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-667","«Acritarco» designa una categoría artificial de microfósiles orgánicos de afinidad biológica incierta y no un clado.","acritarco","clasificado_como_por","taxón de forma artificial","expresa","S152 §2","consenso amplio","alta","La definición es operacional y se usa de forma estable en paleontología precámbrica.","resuelta","vigente"
"C-668","La ornamentación compleja, los procesos huecos, las aberturas de excistamiento y una pared multicapa aumentan la probabilidad de afinidad eucariota, pero ningún carácter aislado es universalmente diagnóstico.","microfósil de pared orgánica","posee_rasgo","conjunto de indicadores eucariotas no exclusivos","expresa","S151 resultados; S152 §2","aceptación mayoritaria","media","Los criterios se apoyan en comparación con organismos actuales y en ultraestructura, pero existen convergencias y pérdida de caracteres.","parcialmente resuelta","vigente"
"C-669","El tamaño de una vesícula por sí solo no permite asignarla con seguridad a Eukaryota.","tamaño de vesícula","no_diagnostica_por_si_solo*","Eukaryota","expresa","S152 §2","consenso amplio","alta","Procariotas y eucariotas solapan sus tamaños y la preservación modifica dimensiones aparentes.","resuelta","vigente"
"C-670","La microscopía electrónica de transmisión puede revelar capas de pared y organización submicrométrica no visibles con microscopía óptica.","microscopía electrónica de transmisión","tiene_valor_medido","ultraestructura de pared","expresa","S151 métodos y figs. 2–7","consenso amplio","alta","Es observación instrumental directa de secciones ultrafinas.","resuelta","vigente"
"C-671","La química orgánica de la pared puede apoyar una afinidad biológica, pero la alteración térmica y la diagénesis limitan su especificidad.","química de pared fósil","respaldado_por","espectroscopía con limitaciones tafonómicas","expresa","S151 discusión; S161 métodos","aceptación mayoritaria","media","Las señales son medibles, pero varias macromoléculas convergen durante la maduración térmica.","parcialmente resuelta","vigente"
"C-672","La sucesión del Grupo Roper está constreñida por edades U–Pb y Re–Os entre aproximadamente 1492 ± 4 Ma y 1361 ± 21 Ma.","Grupo Roper","tiene_edad_estimada","1492 ± 4 Ma a 1361 ± 21 Ma","expresa","S150 §Geological setting","aceptación mayoritaria","alta","Varias dataciones radiométricas bracketan unidades de la sucesión; no datan cada microfósil individual.","parcialmente resuelta","vigente"
"C-673","Tappania plana del Grupo Roper presenta procesos ramificados y morfologías que fueron interpretadas como crecimiento eucariota complejo.","Tappania plana","posee_rasgo","procesos ramificados y crecimiento complejo","expresa","S150 descripción sistemática; S152 fig. 2","aceptación mayoritaria","media","La morfología es consistente con eucariotas, pero no identifica un grupo corona concreto.","parcialmente resuelta","vigente"
"C-674","Valeria lophostriata posee estriaciones concéntricas regulares en la pared de la vesícula.","Valeria lophostriata","posee_rasgo","estriaciones concéntricas regulares","expresa","S150 descripción sistemática; S153 fig. 2","aceptación mayoritaria","alta","El carácter se observa directamente en especímenes de distintas localidades.","resuelta","vigente"
"C-675","Las estriaciones de Valeria lophostriata apoyan una afinidad eucariota, pero no resuelven su posición dentro del grupo corona.","Valeria lophostriata","respaldado_por","morfología compatible con Eukaryota","expresa","S150 discusión","aceptación mayoritaria","media","Un carácter de pared no proporciona una sinapomorfía de supergrupo.","parcialmente resuelta","vigente"
"C-676","Dictyosphaera y Shuiyousphaeridium del Grupo Ruyang presentan ornamentación y organización de pared usadas para proponer afinidad eucariota.","Dictyosphaera y Shuiyousphaeridium","posee_rasgo","ornamentación compleja de pared","expresa","S151 resultados; S152 §2","aceptación mayoritaria","media","La evidencia combina morfología y ultraestructura, pero la edad y la afinidad de nivel bajo conservan incertidumbre.","parcialmente resuelta","vigente"
"C-677","La edad del conjunto Ruyang está acotada de forma más amplia y menos directa que la del Grupo Roper.","biota del Grupo Ruyang","tiene_edad_estimada","intervalo mesoproterozoico con límites estratigráficos amplios","expresa","S150 discusión estratigráfica","aceptación mayoritaria","media","Las dataciones proceden de unidades adyacentes y algunos límites publicados son discutidos.","parcialmente resuelta","vigente"
"C-678","Qingshania magnifica procede de la Formación Chuanlinggou, datada en aproximadamente 1.63 Ga.","Qingshania magnifica","tiene_edad_estimada","aproximadamente 1.63 Ga","expresa","S154 resumen y §Geological setting","aceptación mayoritaria","alta","La edad deriva del marco estratigráfico y geocronológico de la formación.","parcialmente resuelta","vigente"
"C-679","Qingshania magnifica forma filamentos uniseriados compuestos por células de hasta 250 µm de diámetro.","Qingshania magnifica","tiene_valor_medido","células de hasta 250 µm de diámetro","expresa","S154 resumen; fig. 2","aceptación mayoritaria","alta","Dimensiones y organización se midieron en fósiles preservados.","resuelta","vigente"
"C-680","Miao y colaboradores interpretaron Qingshania magnifica como un eucariota multicelular, sin asignarlo con seguridad a un grupo corona viviente.","Qingshania magnifica","clasificado_como_por","eucariota multicelular de posición interna incierta","expresa","S154 discusión","aceptación mayoritaria","media","La multicelularidad se apoya en continuidad filamentosa y tamaño; faltan caracteres diagnósticos de un clado viviente.","parcialmente resuelta","vigente"
"C-681","Grypania spiralis fue interpretada como un alga eucariota macroscópica en la Formación de Hierro Negaunee de aproximadamente 2.1 Ga.","Grypania spiralis","clasificado_como_por","posible alga eucariota","expresa","S155 resumen","aceptación mixta","baja","La morfología helicoidal macroscópica no excluye estructuras no eucariotas ni pseudofósiles.","sin resolver","vigente"
"C-682","La atribución eucariota de Grypania spiralis es cuestionada porque su morfología no aporta una sinapomorfía celular inequívoca.","afirmación C-681","cuestionado_por","ausencia de caracteres celulares diagnósticos","sintesis(C-681)","S152 §3","aceptación mixta","media","La crítica se basa en ambigüedad morfológica y preservación, no en una refutación experimental del espécimen.","sin resolver","vigente"
"C-683","Rafatazmia chitrakootensis fue descrita en la Dolomía Tirohan de la cuenca Vindhyan y se le atribuyó una edad aproximada de 1.6 Ga.","Rafatazmia chitrakootensis","tiene_edad_estimada","aproximadamente 1.6 Ga","expresa","S156 resumen y §Geological setting","aceptación mixta","media","La edad depende de la correlación estratigráfica de la unidad portadora.","parcialmente resuelta","vigente"
