"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-1482","La multicelularidad clonal se forma mediante divisiones celulares sucesivas sin separación completa de las células hijas.","multicelularidad clonal","se_forma_por*","división sin separación","expresa","S134 §Routes to multicellularity; S443 §Clonal development","no evaluado","media","Es una definición operacional usada en estudios comparativos y experimentales.","resuelta","vigente"
"C-1483","La multicelularidad agregativa se forma cuando células que crecieron de manera independiente se adhieren y organizan en un colectivo.","multicelularidad agregativa","se_forma_por*","agregación de células independientes","expresa","S206 resultados; S134 §Routes to multicellularity","no evaluado","media","La independencia previa puede demostrarse mediante mezclas celulares, bloqueo de división o trazado.","resuelta","vigente"
"C-1484","Un cenocito contiene varios núcleos dentro de un citoplasma continuo.","cenocito","posee_rasgo","múltiples núcleos en citoplasma continuo","expresa","S207 introducción; S133 §Development","consenso amplio","alta","Definición citológica.","resuelta","vigente"
"C-1485","La celularización subdivide un cenocito mediante membranas y produce unidades celulares separadas.","celularización","produce*","células a partir de un cenocito","expresa","S208 resumen y fig. 1","no evaluado","alta","El proceso se observa mediante microscopía temporal y marcadores de membrana.","resuelta","vigente"
"C-1486","Las rutas clonal, agregativa y cenocítica describen mecanismos de formación y no niveles de complejidad ni etapas obligatorias.","rutas de multicelularidad","no_forman_escala*","niveles de progreso","expresa","S134 tesis general; S445 discusión","no evaluado","media","Las tres rutas aparecieron en linajes distintos y pueden producir organizaciones diferentes.","resuelta","vigente"
"C-1487","Choanoeca flexa puede combinar crecimiento clonal y agregación en una misma lámina celular.","Choanoeca flexa","posee_rasgo","multicelularidad clonal-agregativa","expresa","S424 resumen; figs. 1–2","no evaluado","alta","Se observaron divisiones dentro de colonias y incorporación de células independientes.","resuelta","vigente"
"C-1488","La coexistencia de clonación y agregación en Choanoeca flexa refuta que ambos mecanismos sean universalmente excluyentes.","afirmación de exclusión universal entre clonación y agregación","invalida_exclusión_universal*","Choanoeca flexa","expresa","S424 resumen y discusión","no evaluado","media","Un contraejemplo observado basta para rechazar la universalidad de la exclusión.","resuelta","vigente"
"C-1489","Una ruta clonal suele elevar la relación genética entre células, pero no elimina mutación somática ni conflicto intraclonal.","ruta clonal","modifica*","relación genética y conflicto","expresa","S443 §§Relatedness and conflict; S433 discusión","no evaluado","baja","La alta relación genética reduce oportunidades de mezcla, pero las mutaciones generan variación dentro del colectivo.","parcialmente resuelta","vigente"
"C-1490","Una ruta agregativa admite quimeras de genotipos distintos cuando el reconocimiento de parentesco es incompleto.","ruta agregativa","permite*","quimerismo","expresa","S215 resultados; S431 resultados; S424 fig. 6","no evaluado","alta","Las quimeras se producen experimentalmente en amebas sociales y en algunas condiciones de choanoflagelados.","resuelta","vigente"
"C-1491","Las rosetas de Salpingoeca rosetta se forman por divisiones seriadas de una célula fundadora y no por agregación de células libres.","Salpingoeca rosetta","se_forma_por*","desarrollo clonal de rosetas","expresa","S200 resultados; fig. 4","no evaluado","media","El seguimiento temporal mostró continuidad desde una célula fundadora.","resuelta","vigente"
"C-1492","Las células de las rosetas de Salpingoeca rosetta permanecen conectadas por puentes intercelulares y matriz extracelular.","roseta de Salpingoeca rosetta","posee_rasgo","puentes intercelulares y matriz extracelular","expresa","S200 figs. 4–6","no evaluado","alta","Las conexiones se observaron por microscopía electrónica.","resuelta","vigente"
"C-1493","La actividad inductora de rosetas de Algoriphagus machipongonensis incluye el sulfonolípido RIF-1.","Algoriphagus machipongonensis","induce_rasgo*","rosetas de Salpingoeca rosetta","expresa","S201 resumen; resultados de purificación","no evaluado","alta","La actividad se siguió por fraccionamiento bioquímico y ensayo de rosetas.","resuelta","vigente"
"C-1494","La inducción bacteriana de rosetas modifica la probabilidad de entrar en un programa clonal y no agrega directamente las células.","señal bacteriana RIF","modula*","programa de desarrollo clonal","expresa","S200; S201 discusión","no evaluado","media","Las rosetas inducidas siguen formándose por división sin separación.","resuelta","vigente"
"C-1495","No se localizó un presupuesto energético por roseta de Salpingoeca rosetta expresado en ATP, consumo de oxígeno o tasa de crecimiento equivalente.","coste de mantener una roseta de Salpingoeca rosetta","carece_de_presupuesto_publicado*","ATP, consumo de oxígeno o coste de crecimiento por roseta","glosa","BN-083","no evaluado","desconocida","La búsqueda recuperó un modelo hidrodinámico, no ATP, consumo de oxígeno ni coste de crecimiento por roseta.","información insuficiente","vigente"
"C-1496","Choanoeca flexa forma láminas de células polarizadas conectadas mediante contactos entre collares.","Choanoeca flexa","posee_rasgo","láminas polarizadas con contactos collar-collar","expresa","S204 figs. 1–3; S424 fig. 1","no evaluado","alta","La organización fue observada por microscopía confocal y electrónica.","resuelta","vigente"
