"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-972","Una endosimbiosis se define por la localización de un organismo dentro de otro y no por que la interacción sea beneficiosa para ambos.","endosimbiosis","clasificado_como_por","asociación intracelular, con independencia del signo de aptitud","expresa","S230 tesis general [sin localizar con mayor precisión]; S240 introducción","no evaluado","media","La definición separa geometría celular de efecto ecológico.","resuelta","vigente"
"C-973","Simbiosis incluye mutualismo, comensalismo y parasitismo en su uso biológico amplio.","simbiosis","posee_circunscripcion*","interacciones persistentes de signo positivo, neutro o negativo","expresa","S230 tesis general [sin localizar con mayor precisión]; S267 introducción","no evaluado","alta","La literatura de endosimbiontes usa el término para resultados de aptitud distintos.","resuelta","vigente"
"C-974","Transmisión vertical designa el paso del socio a la descendencia del hospedador.","transmisión vertical","clasificado_como_por","herencia del socio a través de reproducción del hospedador","expresa","S229 p. 3, sección “Modes and routes of symbiont transmission”","no evaluado","alta","La tesis define literalmente la transmisión vertical como herencia desde la generación parental; el pasaje y la página fueron verificados en el PDF oficial de DASH.","resuelta","vigente"
"C-975","Transmisión horizontal designa la adquisición del socio desde otros hospedadores o desde el ambiente.","transmisión horizontal","clasificado_como_por","adquisición no ligada exclusivamente a la descendencia directa","expresa","S229 p. 3, sección “Modes and routes of symbiont transmission”; S268 introducción","no evaluado","media","S229 define la adquisición desde el ambiente y S268 documenta saltos entre hospedadores; la fila parafrasea conjuntamente ambos alcances.","resuelta","vigente"
"C-976","En este corpus, transferencia génica endosimbiótica designa el movimiento de ADN desde un endosimbionte u orgánulo hacia el genoma del hospedador.","transferencia génica endosimbiótica","clasificado_como_por","convención operativa: movimiento de genes desde endosimbionte u orgánulo al hospedador","glosa","n/a","no evaluado","media","Es una convención terminológica propia del corpus.","resuelta","vigente"
"C-977","La transferencia génica horizontal no exige que el donante sea un endosimbionte estable.","transferencia génica horizontal","se_distingue_de*","transferencia génica endosimbiótica","sintesis(C-976)","S291 introducción; S293 tesis general","consenso amplio","alta","El mecanismo puede operar mediante presas, vectores, etapas vulnerables u otras asociaciones.","resuelta","vigente"
"C-978","La transmisión vertical, la transmisión horizontal y la transferencia génica endosimbiótica son dimensiones separables de una asociación.","grado de integración","posee_dimensiones*","transmisión vertical, transmisión horizontal y transferencia génica endosimbiótica","sintesis(C-974, C-975, C-976)","C-974; C-975; C-976","no evaluado","media","La síntesis se restringe a esas tres definiciones. La dependencia, la reducción genómica y la importación proteica de la versión compuesta anterior no se descartan: se retiraron de esta fila por no atomicidad y permanecen trazadas por separado en C-989, C-1050, C-1088, C-1119 y C-1165.","resuelta","vigente"
"C-979","No existe un único umbral universalmente aceptado que transforme toda endosimbiosis en orgánulo.","límite endosimbionte-orgánulo","tiene_estado*","sin criterio universal único","expresa","S242 discusión; S246 discusión; S282 revisión [sin localizar con mayor precisión]","no evaluado","media","Los autores ponderan de forma distinta control del hospedador, transmisión, importación y autonomía.","sin resolver","vigente"
"C-980","La tipología de esta sección ordena desenlaces observados sin tratarlos como una secuencia obligatoria.","tipología de desenlaces","no_implica*","progresión evolutiva lineal","glosa","n/a","no evaluado","alta","Los casos muestran pérdidas, reemplazos, asociaciones temporales y rutas paralelas.","resuelta","vigente"
"C-981","El contacto sin consecuencia detectable es un desenlace operacional acotado al rasgo, ensayo y condiciones evaluados.","contacto sin consecuencia detectable","tiene_limitacion_probatoria*","no permite inferir ausencia universal de efecto","glosa","n/a","no evaluado","alta","Un resultado nulo para inducción de rosetas no excluye consumo, señalización u otros efectos no medidos.","parcialmente resuelta","vigente"
"C-982","En el panel de Alegado et al., las cepas no pertenecientes a Bacteroidetes que fueron ensayadas no indujeron rosetas de Salpingoeca rosetta, mientras 15 cepas de Algoriphagus y seis Bacteroidetes adicionales sí lo hicieron.","cepas bacterianas ensayadas por Alegado et al.","induce_rosetas*","resultado nulo fuera de Bacteroidetes para el extremo de inducción ensayado","expresa","S201 resultados; fig. 1 y suplemento","no evaluado","media","El nulo se limita a inducción de rosetas en ese panel y no significa contacto biológicamente inconsecuente en general.","resuelta","vigente"
"C-983","Lenisia limosa fagocita bacterias del género Alteromonas.","Lenisia limosa","depreda_a","Alteromonas","expresa","S210 fig. 1 y microscopía","no evaluado","alta","La captura mediante pseudópodos fue observada directamente.","resuelta","vigente"
"C-984","Microsporidia son parásitos intracelulares obligados de otros eucariotas.","Microsporidia","clasificado_como_por","parásitos intracelulares obligados","expresa","S269 resumen","no evaluado","alta","La dependencia intracelular y la patogenicidad están observadas en múltiples especies.","resuelta","vigente"
"C-985","Hatena arenicola adquiere temporalmente una célula de Nephroselmis por ingestión.","Hatena arenicola","asociación_no_heredable_con*","Nephroselmis","expresa","S249 resultados; S250 resultados","no evaluado","alta","La adquisición fue observada por microscopía y puede repetirse desde el ambiente.","resuelta","vigente"
"C-986","La asociación Lenisia limosa–Arcobacter se mantiene en cultivo pero no tiene transmisión vertical demostrada.","Lenisia limosa–Arcobacter","posee_rasgo","asociación estable sin herencia vertical demostrada","sintesis(C-974, C-975)","S210 resultados; S225 resultados","no evaluado","media","La persistencia es observable; la ruta de herencia entre generaciones celulares no fue demostrada.","parcialmente resuelta","vigente"
"C-987","Algunos metanógenos de ciliados anaerobios persisten durante división celular y estadios de quiste.","metanógenos endosimbióticos de ciliados anaerobios","posee_rasgo","transmisión vertical documentada","expresa","S236 resultados","no evaluado","baja","La persistencia y los experimentos de transfaunación apoyaron herencia vertical en los taxones estudiados.","parcialmente resuelta","vigente"
"C-988","Buchnera aphidicola y los áfidos mantienen una dependencia nutricional obligada.","áfido–Buchnera aphidicola","posee_rasgo","dependencia mutua obligada","expresa","S266 tesis general [sin localizar con mayor precisión]","no evaluado","media","Buchnera no se cultiva fuera del hospedador y aporta nutrientes esenciales.","resuelta","vigente"
"C-989","Paulinella chromatophora posee genes de origen cromatofórico en el núcleo y dirige proteínas de vuelta al cromatóforo.","Paulinella chromatophora","posee_rasgo","transferencia génica endosimbiótica e importación proteica","expresa","S243 resultados; S244 resultados","no evaluado","alta","Se identificaron genes nucleares, expresión y productos destinados al compartimento.","resuelta","vigente"
"C-990","Los nucleomorfos son núcleos reducidos de algas incorporadas por endosimbiosis secundaria.","nucleomorfo","clasificado_como_por","núcleo endosimbiótico extremadamente reducido","expresa","S258 introducción; S259 resumen","consenso amplio","alta","Su genoma eucariota residual y su posición celular documentan el origen.","resuelta","vigente"
"C-991","Monocercomonoides exilis perdió por completo el orgánulo derivado de la mitocondria.","Monocercomonoides exilis","pierde_rasgo","orgánulo derivado de la mitocondria","expresa","S275 resumen; S276 resultados","no evaluado","media","Búsquedas genómicas y celulares no recuperaron maquinaria ni compartimento mitocondrial.","resuelta","vigente"
"C-992","No se localizó un caso inequívoco en que el mismo endosimbionte obligado y genómicamente reducido recuperara una existencia libre autónoma.","ruptura con recuperación de vida libre por el mismo linaje reducido","tiene_caso_documentado*","NO LOCALIZADO EN ESTA SESIÓN","glosa","BN-038","no evaluado","desconocida","Pérdida, reemplazo, extinción o cultivo transitorio del socio no demuestran reversión evolutiva del mismo linaje a vida libre.","información insuficiente","vigente"
"C-993","Lenisia limosa es un breviado anaerobio cultivado con epibiontes de Arcobacter.","Lenisia limosa","es_huesped_de","Arcobacter epibionte","expresa","S210 resumen y resultados","no evaluado","alta","El sistema fue mantenido en cultivo y examinado por microscopía y secuenciación.","resuelta","vigente"
"C-994","Microscopía electrónica mostró células de Arcobacter conectadas a Lenisia limosa por estructuras semejantes a pili.","Arcobacter epibionte de Lenisia","posee_rasgo","contacto mediante estructura semejante a pilus","expresa","S210 fig. 1 y microscopía","no evaluado","alta","La estructura se observó directamente en SEM y TEM.","resuelta","vigente"
"C-995","Hamann y colaboradores interpretaron la asociación como intercambio de hidrógeno desde Lenisia hacia Arcobacter.","Lenisia limosa","intercambia_metabolito_con*","H₂ hacia Arcobacter","expresa","S210 resumen; resultados metabólicos","no evaluado","media","Transcriptómica, inhibición y tratamientos de hidrógeno convergen en esa dirección.","resuelta","vigente"
"C-996","Una hidrogenasa aceptora de NAD(P)H de Lenisia se expresó solamente en presencia de Arcobacter en los experimentos publicados.","Lenisia limosa","posee_rasgo","expresión condicional de hidrogenasa aceptora de NAD(P)H","expresa","S210 resultados transcriptómicos","no evaluado","media","La diferencia se midió entre condiciones con y sin el epibionte.","resuelta","vigente"
"C-997","La ruta fermentativa asociada con Arcobacter fue calculada por los autores como capaz de producir el doble de ATP que la ruta alternativa comparada.","ruta fermentativa de Lenisia con Arcobacter","tiene_valor_medido","dos veces el ATP teórico de la ruta alternativa","expresa","S210 discusión metabólica","no evaluado","baja","Es un rendimiento estequiométrico calculado, no una medición calorimétrica directa.","parcialmente resuelta","vigente"
"C-998","Arcobacter puede usar óxido nitroso como aceptor de electrones en el sistema experimental.","Arcobacter epibionte de Lenisia","posee_rasgo","respiración con N₂O","expresa","S210 resultados","no evaluado","alta","La actividad se evaluó mediante manipulación del aceptor y respiración.","resuelta","vigente"
"C-999","La inhibición del metabolismo de N₂O redujo el crecimiento y la respiración del protista en el sistema experimental.","inhibición de la respiración de Arcobacter","reduce*","crecimiento y respiración de Lenisia","expresa","S210 resultados","no evaluado","alta","El efecto se replicó en experimentos independientes.","resuelta","vigente"
"C-1000","Proteínas de Arcobacter anotadas como factores de virulencia bacteriana pueden participar en una asociación mutualista en Lenisia.","proteínas de Arcobacter","converge_con","factores usados en interacciones patógenas y mutualistas","expresa","S210 discusión","no evaluado","baja","La anotación homóloga no determina por sí sola el signo ecológico de la interacción.","parcialmente resuelta","vigente"
