"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-1223","Un coste absoluto de un rasgo puede expresarse como ATP equivalente invertido en su construcción u operación.","coste absoluto de rasgo","clasificado_como_por","ATP equivalente de construcción u operación","expresa","S307 pp. 82–83","no evaluado","alta","La revisión define explícitamente la contabilidad de costes directos y de oportunidad.","resuelta","vigente"
"C-1224","Un coste relativo divide el coste absoluto del rasgo por el presupuesto energético celular usado como denominador.","coste relativo de rasgo","se_calcula_como*","coste absoluto dividido por presupuesto celular","expresa","S307 pp. 83, 95","no evaluado","alta","La operación está definida por los autores.","resuelta","vigente"
"C-1225","El coste de construcción y el coste de operación son magnitudes distintas.","coste de rasgo","se_distingue_de*","construcción frente a operación","expresa","S307 pp. 82, 90; S324 tabla 1","consenso amplio","alta","Las fuentes calculan ambas magnitudes por separado.","resuelta","vigente"
"C-1226","El coste de oportunidad contabiliza la energía que se habría obtenido al oxidar un precursor incorporado a biomasa.","coste de oportunidad","clasificado_como_por","energía no obtenida por incorporar precursores a biomasa","expresa","S307 p. 82","no evaluado","alta","Definición explícita de la revisión.","resuelta","vigente"
"C-1227","El coste energético basal no determina por sí solo el efecto neto de aptitud de un rasgo.","coste energético basal","no_equivale_a*","efecto neto de aptitud","expresa","S307 pp. 82–83","no evaluado","media","El beneficio y otros costes deben añadirse al balance.","resuelta","vigente"
"C-1228","La misma cifra absoluta produce costes relativos distintos en células con presupuestos distintos.","cifra absoluta de coste","depende_de_denominador*","presupuesto energético celular","expresa","S307 pp. 83, 86–89","no evaluado","alta","La revisión muestra escalamiento del presupuesto con volumen y tiempo de división.","resuelta","vigente"
"C-1229","Los valores medidos o modelados en organismos actuales no constituyen mediciones del coste del rasgo durante el tallo eucariota.","coste de rasgo ancestral","no_observado_directamente_en*","organismos actuales","sintesis(C-1223, C-1228)","S307 pp. 81–82, 94–95","no evaluado","alta","Los organismos experimentales son descendientes actuales y los estados ancestrales se reconstruyen.","resuelta","vigente"
"C-1230","La revisión cuantitativa de 2025 declara que la mayoría de los escenarios sobre núcleo, endomembranas, fagocitosis y otros rasgos carecen de balance neto cuantitativo.","escenarios de origen de rasgos celulares","posee_estado*","balance neto cuantitativo ausente en la mayoría","expresa","S307 p. 82","no evaluado","media","La limitación se declara de forma explícita.","información insuficiente","vigente"
"C-1231","El coste de un rasgo puede cambiar si se añade al presupuesto total o sustituye inversión en componentes preexistentes.","introducción de un rasgo","posee_modalidades_de_coste*","adición o sustitución","expresa","S307 fig. 1 y pp. 84–85","no evaluado","media","Es un marco teórico; la modalidad histórica concreta debe establecerse por caso.","parcialmente resuelta","vigente"
"C-1232","No existe una conversión universal entre ATP invertido y coeficiente de selección para todos los organismos y regímenes de crecimiento.","ATP invertido en un rasgo","no_equivale_universalmente_a*","coeficiente de selección","expresa","S307 pp. 83, 95","no evaluado","media","La relación depende del presupuesto, crecimiento, ecología y competencia por recursos.","sin resolver","vigente"
"C-1233","La tabla de costes conserva la unidad y el denominador originales de cada fuente.","tabla de costes","conserva*","unidad y denominador originales","glosa","n/a","no evaluado","alta","Evita convertir magnitudes no equivalentes.","resuelta","vigente"
"C-1234","Cuando no se localizó una cifra para el rasgo completo, la tabla usa el marcador SIN CIFRA PUBLICADA LOCALIZADA.","tabla de costes","usa_marcador*","SIN CIFRA PUBLICADA LOCALIZADA","glosa","n/a","no evaluado","alta","El marcador distingue ausencia de localización de una cifra cero.","resuelta","vigente"
"C-1235","El coste modelado de la membrana de un macronúcleo de ciliado escala como 6.8 × 10^9 Vcell^0.54 ATP.","membrana de macronúcleo de ciliado","tiene_valor_medido","6.8 × 10^9 Vcell^0.54 ATP","expresa","S307 pp. 90–91","no evaluado","baja","Es una estimación morfométrica compilada, no calorimetría directa.","parcialmente resuelta","vigente"
"C-1236","El coste modelado de la membrana de un micronúcleo de ciliado escala como 1.5 × 10^9 Vcell^0.41 ATP.","membrana de micronúcleo de ciliado","tiene_valor_medido","1.5 × 10^9 Vcell^0.41 ATP","expresa","S307 pp. 90–91","no evaluado","media","Es una estimación morfométrica compilada.","parcialmente resuelta","vigente"
"C-1237","Para otros eucariotas, el coste modelado de la membrana nuclear escala como 7.8 × 10^9 Vcell^0.48 ATP.","membrana nuclear de otros eucariotas","tiene_valor_medido","7.8 × 10^9 Vcell^0.48 ATP","expresa","S307 pp. 90–91","no evaluado","media","La relación combina especies actuales y representa solo membrana.","parcialmente resuelta","vigente"
"C-1238","En un ciliado de 10^5 µm³, el volumen nuclear usado como proxy dio costes relativos de 2.5% para el macronúcleo y 0.032% para el micronúcleo.","núcleos de ciliado de 10^5 µm³","tiene_valor_medido","2.5% y 0.032% del presupuesto celular","expresa","S307 p. 91","no evaluado","media","El volumen nuclear es un proxy aproximado del núcleo completo.","parcialmente resuelta","vigente"
"C-1239","Un complejo del poro nuclear de levadura fue estimado en 1.3 × 10^7 ATP de construcción.","complejo del poro nuclear de levadura","tiene_valor_medido","1.3 × 10^7 ATP","expresa","S307 p. 91","no evaluado","media","La cifra se deriva de composición y masa molecular.","parcialmente resuelta","vigente"
