"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-723","Douzery y colaboradores estimaron que las principales divergencias eucariotas consideradas en su estudio ocurrieron entre 950 y 1259 Ma.","diversificación eucariota en Douzery et al. 2004","tiene_edad_estimada","950–1259 Ma","expresa","S142 resumen","no evaluado","media","Intervalo posterior derivado de un reloj relajado con muestreo y calibraciones hoy limitados.","parcialmente resuelta","vigente"
"C-724","Douzery y colaboradores estimaron la divergencia entre animales y coanoflagelados entre 761 y 957 Ma.","nodo Choanoflagellata–Metazoa","tiene_edad_estimada","761–957 Ma","expresa","S142 resumen; tabla 1","no evaluado","media","Estimación de reloj relajado condicionada por seis calibraciones fósiles y el árbol empleado.","parcialmente resuelta","vigente"
"C-725","El análisis de Douzery y colaboradores utilizó un reloj molecular relajado bayesiano y seis referencias fósiles.","análisis de Douzery et al. 2004","posee_metodo*","reloj relajado bayesiano con seis calibraciones","expresa","S142 métodos","consenso amplio","alta","El método y las calibraciones están declarados por los autores.","resuelta","vigente"
"C-726","Parfrey y colaboradores estimaron la edad de LECA entre 1679 y 1866 Ma.","LECA","tiene_edad_estimada","1679–1866 Ma","expresa","S139 resumen; resultados","no evaluado","media","El intervalo combina genes y calibraciones fósiles, pero depende de asignaciones taxonómicas y priors.","parcialmente resuelta","vigente"
"C-727","Parfrey y colaboradores ampliaron el muestreo de eucariotas microbianos respecto de estudios anteriores.","análisis de Parfrey et al. 2011","posee_rasgo","muestreo ampliado de eucariotas microbianos","expresa","S139 métodos","aceptación mayoritaria","alta","La matriz taxonómica está documentada y responde a un sesgo reconocido de trabajos previos.","resuelta","vigente"
"C-728","Eme y colaboradores obtuvieron estimaciones de LECA que abarcaron 1007–1898 Ma entre sus análisis.","LECA","tiene_edad_estimada","1007–1898 Ma","expresa","S141 §Molecular clocks; fig. 3","no evaluado","media","El intervalo total refleja variación entre configuraciones de calibración y reloj.","parcialmente resuelta","vigente"
"C-729","Eme y colaboradores estimaron Opisthokonta entre 904 y 1579 Ma.","Opisthokonta","tiene_edad_estimada","904–1579 Ma","expresa","S141 fig. 3 y material suplementario","no evaluado","media","La edad posterior depende de la topología y calibraciones seleccionadas.","parcialmente resuelta","vigente"
"C-730","En los análisis de Eme y colaboradores, el intervalo entre LECA y Opisthokonta varió entre 23 y 334 Ma.","tallo entre LECA y Opisthokonta","tiene_valor_medido","23–334 Ma","expresa","S141 discusión","no evaluado","media","Es una diferencia entre edades posteriores, no una duración observada en roca.","parcialmente resuelta","vigente"
"C-731","Strassert y colaboradores estimaron la edad de LECA entre 1958 y 2386 Ma.","LECA","tiene_edad_estimada","1958–2386 Ma","expresa","S140 resumen; fig. 2","no evaluado","media","El intervalo resulta de análisis bayesianos con múltiples modelos y calibraciones.","parcialmente resuelta","vigente"
"C-732","Strassert y colaboradores exploraron más de un modelo de reloj relajado, distribuciones alternativas de calibración y dos posiciones de raíz.","análisis de Strassert et al. 2021","posee_metodo*","modelos y calibraciones alternativos","expresa","S140 métodos; Supplementary Data 1","aceptación mayoritaria","alta","La sensibilidad metodológica fue analizada explícitamente.","resuelta","vigente"
"C-733","La corrección publicada para Strassert y colaboradores no fue tratada en esta sesión como una nueva estimación temporal independiente.","corrección de Strassert et al. 2021","clasificado_como_por","corrección del mismo estudio","glosa","S140 nota editorial","no evaluado","desconocida","No se localizó un cambio de los intervalos centrales en el material recuperado.","información insuficiente","vigente"
"C-734","Betts y colaboradores integraron información genómica y fósil en una escala temporal común para la evolución temprana de la vida.","análisis de Betts et al. 2018","posee_metodo*","integración de datos genómicos y fósiles","expresa","S177 resumen y métodos","aceptación mayoritaria","alta","El diseño metodológico está descrito explícitamente; sus edades siguen dependiendo de árbol y calibraciones.","resuelta","vigente"
"C-735","Porter sostuvo que no existen fósiles inequívocos asignables a grupos corona de supergrupos eucariotas antes de aproximadamente 1.05 Ga.","registro fósil de eucariotas corona","tiene_limite_observado*","aproximadamente 1.05 Ga","expresa","S178 §3","posición minoritaria","media","La conclusión depende de criterios taxonómicos conservadores y es discutida por relojes y biomarcadores.","sin resolver","vigente"
"C-736","La posición de un origen tardío de la diversidad eucariota viviente interpreta muchos fósiles paleoproterozoicos y mesoproterozoicos como grupos troncales o de posición indeterminada.","hipótesis de origen tardío de Eukaryota corona","clasificado_como_por","lectura troncal del registro antiguo","expresa","S178 discusión; S179 resumen","posición minoritaria","media","Concilia ausencia de fósiles corona inequívocos, pero requiere tasas de divergencia y preservación compatibles.","sin resolver","vigente"
"C-737","Un preprint de 2026 propuso un límite mínimo próximo a 1696 Ma para LECA a partir de dinámica de clados.","LECA","tiene_edad_estimada","mínimo próximo a 1696 Ma","expresa","S181 resumen","no evaluado","baja","Es un preprint sin revisión por pares y usa un marco metodológico distinto de los relojes convencionales.","sin resolver","vigente"
"C-738","No existe una estimación de consenso para la edad de LECA.","LECA","tiene_estimacion_de_consenso*","no existe","sintesis(C-726, C-728, C-731)","S139 resultados; S141 fig. 3; S140 fig. 2; S178 discusión","consenso amplio","alta","Los intervalos publicados abarcan más de 1.3 Ga y responden de forma distinta a calibraciones y modelos.","sin resolver","vigente"
"C-739","Las estimaciones recuperadas para LECA en esta parte abarcan desde 1007 Ma hasta 2386 Ma.","LECA","tiene_rango_publicado*","1007–2386 Ma","sintesis(C-728, C-731)","S141 fig. 3; S140 fig. 2","no evaluado","alta","Es el envolvente de estimaciones publicadas, no un intervalo de confianza combinado ni un promedio.","sin resolver","vigente"
