"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-1898","Los relojes moleculares estiman intervalos de divergencia condicionados por la topología, el modelo de tasas y las calibraciones.","reloj molecular","depende_de*","topología, modelo de tasas y calibraciones","sintesis(C-759, C-766, C-777, C-779, C-780)","S139 resultados; S140 métodos; S141 §Molecular clocks; S142 métodos","consenso amplio","alta","Los intervalos resultan de un modelo especificado y no de lectura directa del evento.","resuelta","vigente"
"C-1899","Un intervalo de reloj no es una observación directa de la divergencia.","intervalo de reloj molecular","se_distingue_de*","observación directa del evento","sintesis(C-777)","S141 §Molecular clocks","no evaluado","alta","El intervalo resulta de inferencia condicionada por datos y modelo.","resuelta","vigente"
"C-1900","Las estimaciones de reloj pueden desplazarse por calibraciones, raíz, saturación, heterotaquia y modelo de tasas.","estimación de reloj molecular","posee_modo_de_fallo*","calibración, raíz y representación de tasas y sustituciones","sintesis(C-775, C-776, C-778, C-781, C-782, C-783)","S140 métodos; S141 discusión; S142 métodos","consenso amplio","alta","Cada factor está documentado como fuente de sensibilidad en divergencias profundas.","parcialmente resuelta","vigente"
"C-1901","La filogenómica comparada estima relaciones de parentesco y distribuciones de familias génicas a partir de matrices y modelos especificados.","filogenómica comparada","responde_pregunta*","topología e historia comparativa de genes","sintesis(C-1683)","S102 métodos; S108 métodos; S126 métodos","consenso amplio","alta","Los estudios publican matrices, modelos y árboles contrastables.","resuelta","vigente"
"C-1902","El soporte filogenómico puede cambiar con muestreo, ortología, datos ausentes, heterogeneidad composicional, sitios rápidos y atracción de ramas largas.","soporte filogenómico","posee_modo_de_fallo*","sensibilidad de matriz y modelo","sintesis(C-433, C-434, C-435, C-436, C-458)","S102 métodos y Extended Data; S104 tesis general; S126 métodos","consenso amplio","alta","Las pruebas de sensibilidad cambian topologías bajo tratamientos documentados.","parcialmente resuelta","vigente"
"C-1903","La filogenómica comparada no observa por sí sola la fisiología de un ancestro.","filogenómica comparada","no_demuestra*","fisiología ancestral observada","glosa","n/a; inferencia epistemológica del corpus","no evaluado","media","Las secuencias actuales sostienen reconstrucciones comparativas y no una observación del organismo ancestral. La auditoría independiente no recuperó el fragmento literal exigido junto al localizador; la atribución se degrada conservadoramente a glosa y la fuerza no se promueve.","resuelta","vigente"
"C-1904","Un microfósil en una unidad datada aporta un límite mínimo de presencia y permite describir morfología, pared, tamaño y contexto sedimentario.","microfósil en unidad datada","responde_pregunta*","presencia mínima y caracteres preservados","sintesis(C-697, C-699, C-715)","S150 §Geological setting; S151 métodos; S152 §2","consenso amplio","alta","La observación y la edad de la unidad se conservan separadas de la afinidad inferida.","resuelta","vigente"
"C-1905","La resolución taxonómica de un microfósil depende de caracteres diagnósticos preservados y puede quedar en grupo tronco o posición indeterminada.","asignación taxonómica de microfósil","depende_de*","caracteres preservados y exclusividad morfológica","sintesis(C-695, C-709, C-712, C-726, C-730)","S151 discusión; S152 §§2–3; S161 discusión; S178 §fossil record","consenso amplio","alta","Convergencia, pérdida de partes blandas, diagénesis y edad indirecta reducen la resolución.","parcialmente resuelta","vigente"
"C-1906","Los biomarcadores registran moléculas preservadas y capacidades biosintéticas compatibles.","biomarcador","responde_pregunta*","molécula preservada y biosíntesis compatible","sintesis(C-744, C-746, C-748)","S171 resultados; S173 resultados","no evaluado","alta","La molécula observada y su vía compatible pueden documentarse de manera independiente de una asignación exclusiva.","resuelta","vigente"
"C-1907","Un biomarcador no enlaza por sí solo cada molécula con un fósil corporal o un taxón exclusivo.","biomarcador","no_demuestra*","productor fósil o taxón exclusivo","sintesis(C-745, C-747)","S171 discusión; S174 resumen","no evaluado","alta","La atribución requiere exclusividad biosintética o evidencia independiente del productor.","parcialmente resuelta","vigente"
"C-1908","La contaminación postdeposicional y la producción convergente por linajes distintos son modos de fallo demostrados para la interpretación de biomarcadores.","interpretación de biomarcadores","posee_modo_de_fallo*","contaminación y especificidad biosintética insuficiente","sintesis(C-742, C-743, C-746, C-747)","S170 resumen y discusión; S174 resumen","consenso amplio","alta","Ambos modos de fallo fueron identificados mediante controles empíricos.","resuelta","vigente"
"C-1909","Los proxies geoquímicos reconstruyen estados redox, reservorios o procesos del archivo muestreado.","proxy geoquímico","responde_pregunta*","condición ambiental inferida del archivo muestreado","sintesis(C-799, C-816, C-841)","S183 métodos; S189 métodos; S191 resultados","consenso amplio","alta","Los proxies registran procesos y escalas espaciales específicas.","resuelta","vigente"
"C-1910","Un proxy geoquímico no proporciona por sí solo una lectura directa y universal de la atmósfera o de todo el océano.","proxy geoquímico individual","no_demuestra*","estado ambiental global directo","sintesis(C-799, C-813, C-816, C-841)","S183 discusión; S189 discusión; S191 discusión","consenso amplio","alta","El archivo y el modelo integran escalas locales o regionales antes de cualquier extrapolación global.","parcialmente resuelta","vigente"
"C-1911","La resolución de un proxy geoquímico depende de localidad, edad, preservación, calibración y modelo de conversión.","resolución de proxy geoquímico","depende_de*","archivo y modelo específicos","sintesis(C-798, C-799, C-816, C-841)","S183 métodos; S189 discusión; S191 resultados; S462 métodos","consenso amplio","alta","Los estudios recuperados producen estimaciones distintas con archivos y supuestos distintos.","sin resolver","vigente"
"C-1912","La genómica y la biología celular de organismos actuales pueden demostrar presencia, localización, estructura o función en el organismo y las condiciones examinadas.","genómica y biología celular actuales","responde_pregunta*","estado observado o ensayado de organismo actual","sintesis(C-138, C-141, C-142, C-146)","S27 resultados; S43 resultados; S44 resultados; S126 métodos","consenso amplio","alta","La procedencia experimental o genómica puede declararse para cada rasgo.","resuelta","vigente"
"C-1913","La distribución actual de un rasgo no fija por sí sola el orden de adquisición ni el fenotipo ancestral.","distribución actual de rasgo","no_demuestra*","orden histórico o fenotipo ancestral","sintesis(C-209, C-1605)","S56 discusión; S126 métodos; S352 discusión","consenso amplio","alta","Pérdida, duplicación, transferencia, convergencia y muestreo incompleto admiten historias alternativas.","parcialmente resuelta","vigente"
"C-1914","Los experimentos de laboratorio pueden contrastar causalmente compatibilidad, intercambio metabólico y respuesta de una asociación bajo participantes y condiciones definidos.","experimento de laboratorio con asociación","responde_pregunta*","mecanismo bajo condiciones definidas","sintesis(C-059, C-830, C-845)","S16 resultados; S17 resultados; S210 resultados","consenso amplio","alta","La manipulación y el control permiten evaluar mecanismos en el sistema ensayado.","resuelta","vigente"
