"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-793","La Gran Oxidación produjo una acumulación persistente de oxígeno atmosférico durante el Paleoproterozoico, aproximadamente entre 2.43 y 2.32 Ga según la síntesis de proxies recuperada.","Gran Oxidación","tiene_edad_estimada","aproximadamente 2.43–2.32 Ga","expresa","S194 fig. 1 y texto principal","no evaluado","media","El intervalo integra desaparición de fraccionamiento independiente de masa del azufre y otros proxies; sus límites exactos varían entre archivos. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","parcialmente resuelta","vigente"
"C-794","La excursión de Lomagundi–Jatuli se sitúa aproximadamente entre 2.22 y 2.06 Ga en la reconstrucción de Bekker y Holland.","excursión Lomagundi–Jatuli","tiene_edad_estimada","aproximadamente 2.22–2.06 Ga","expresa","S195 resumen","no evaluado","media","La correlación global y los límites temporales dependen de sucesiones discontinuas. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","parcialmente resuelta","vigente"
"C-795","Los carbonatos de la excursión Lomagundi–Jatuli alcanzan valores de δ13C positivos de hasta aproximadamente +15‰ en la compilación citada.","excursión Lomagundi–Jatuli","tiene_valor_medido","hasta aproximadamente +15‰ δ13Ccarbonato","expresa","S195 resultados","no evaluado","media","Es un máximo de registros carbonáticos, no una medida directa de oxígeno. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","parcialmente resuelta","vigente"
"C-796","La hipótesis de sobreimpulso de oxígeno durante Lomagundi–Jatuli infiere aumento y recuperación posteriores a partir de ciclos de carbono, azufre, hierro y fósforo.","hipótesis de sobreimpulso de oxígeno","respaldado_por","proxies geoquímicos múltiples","expresa","S195 discusión","no evaluado","media","Los proxies son indirectos y no producen una única pO₂ cuantitativa. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","sin resolver","vigente"
"C-797","La caída posterior a Lomagundi–Jatuli está respaldada por una reducción de evaporitas sulfáticas, fosforitas y estados de oxidación de lutitas en las compilaciones recuperadas.","intervalo posterior a Lomagundi–Jatuli","pierde_rasgo","señales de alta oxidación","expresa","S195 resultados y discusión","no evaluado","baja","Los cambios aparecen en varios archivos, pero su traducción a pO₂ global no es única. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","parcialmente resuelta","vigente"
"C-798","Planavsky y colaboradores infirieron menos de 0.1% del nivel atmosférico presente de O₂ para partes del Mesoproterozoico mediante isótopos de cromo.","atmósfera mesoproterozoica","tiene_valor_medido","<0.1% PAL de O₂ inferido","expresa","S182 resumen; fig. 3","no evaluado","baja","El valor depende del umbral de fraccionamiento de Cr durante meteorización oxidativa. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","sin resolver","vigente"
"C-799","Zhang y colaboradores infirieron 4–8% PAL de O₂ para aproximadamente 1.4 Ga mediante un modelo biogeoquímico de la Formación Xiamaling.","atmósfera a aproximadamente 1.4 Ga","tiene_valor_medido","4–8% PAL de O₂ inferido","expresa","S183 resumen; resultados","no evaluado","baja","El modelo integra carbono orgánico, tasas de sedimentación y respiración; sus supuestos difieren de los del proxy de Cr. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","sin resolver","vigente"
"C-800","Liu y colaboradores obtuvieron una mejor estimación de aproximadamente 1–2% PAL de O₂ para la edad media de la Tierra mediante termodinámica de anomalías de cerio.","atmósfera mesoproterozoica","tiene_valor_medido","aproximadamente 1–2% PAL de O₂ inferido","expresa","S184 resumen; fig. 4","no evaluado","baja","La inferencia requiere supuestos sobre equilibrio redox, pH y composición del agua. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","sin resolver","vigente"
"C-801","Canfield y colaboradores interpretaron isótopos de cromo altamente fraccionados como evidencia de niveles de O₂ superiores a 4% PAL en parte del Mesoproterozoico.","atmósfera mesoproterozoica","tiene_valor_medido",">4% PAL de O₂ inferido","expresa","S185 resumen y discusión","no evaluado","baja","El umbral deriva de modelos de movilización de Cr y contradice estimaciones mucho menores. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","sin resolver","vigente"
"C-802","Las estimaciones mesoproterozoicas recuperadas de pO₂, desde <0.1% PAL hasta 4–8% PAL, no deben promediarse.","pO₂ mesoproterozoica","tiene_estimacion_de_consenso*","no existe","sintesis(C-798, C-799, C-800, C-801)","S182 resumen; S183 resumen; S184 resumen; S185 resumen","consenso amplio","alta","Los valores proceden de proxies y modelos con supuestos no equivalentes.","sin resolver","vigente"
