"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-017","Woese, Kandler y Wheelis propusieron en 1990 los dominios Bacteria, Archaea y Eucarya.","sistema de tres dominios","propuesto_por","Woese, Kandler y Wheelis en 1990","expresa","S06 título; fig. 1","no evaluado","alta","La propuesta y sus nombres se encuentran en el trabajo original.","resuelta","histórica"
"C-018","En el árbol de tres dominios, Eukaryota se representa como grupo hermano de Archaea y Archaea se trata como monofilético.","árbol de tres dominios","posee_topologia*","(Bacteria,(Archaea,Eukaryota))","expresa","S06 fig. 1; cuestionado por S08 fig. 1, S09 tesis general y S10 figs. 1–3","no evaluado","alta","Es la topología explícita del esquema; su vigencia filogenética está discutida.","sin resolver","vigente"
"C-019","Lake et al. recuperaron a los eocitos examinados como grupo hermano de Eukaryota.","eocitos examinados por Lake et al. 1984","grupo_hermano_de","Eukaryota","expresa","S07 resumen; fig. 4","no evaluado","media","La topología original se basó en caracteres ultraestructurales ribosómicos; la autoría y la fecha se conservan en la fuente, mientras el triple codifica la relación usada en el árbol.","parcialmente resuelta","vigente"
"C-020","El trabajo original sobre eocitos distinguió cuatro patrones estructurales ribosómicos y usó caracteres de ambas subunidades.","Lake et al. 1984","respaldado_por","cuatro patrones ultraestructurales ribosómicos","expresa","S07 resumen; figs. 1–4","no evaluado","media","Los caracteres fueron observados, pero su codificación filogenética y homología pueden revisarse.","parcialmente resuelta","histórica"
"C-021","La topología del eocito coloca a Eukaryota dentro de Archaea y hace parafilético al uso de Archaea que excluye a Eukaryota.","topología del eocito","posee_topologia*","(Bacteria,(Archaea no eucariota,Eukaryota))","sintesis(C-019)","S08 fig. 1; S14 tesis general","no evaluado","alta","Es una consecuencia cladística directa de anidar Eukaryota dentro de Archaea.","resuelta","vigente"
"C-022","Cox et al. analizaron 53 genes representativos de los tres dominios.","análisis de Cox et al. 2008","tiene_valor_medido","53 genes","expresa","S08 resumen; Methods","no evaluado","alta","El tamaño del conjunto está declarado en el trabajo.","resuelta","vigente"
"C-023","El análisis combinado de rRNA de Cox et al. incluyó 40 taxones y 1.048 caracteres alineados.","matriz de rRNA de Cox et al. 2008","tiene_valor_medido","40 taxones y 1.048 caracteres","expresa","S08 métodos: Ribosomal RNA analyses","no evaluado","alta","Son dimensiones declaradas de la matriz.","resuelta","vigente"
"C-024","Con un modelo GTR homogéneo, la matriz de rRNA de Cox et al. recuperó un árbol de tres dominios.","matriz de rRNA de Cox et al. bajo GTR homogéneo","respaldado_por","árbol de tres dominios","expresa","S08 Results; fig. 1A","no evaluado","media","El resultado cambia al modelar heterogeneidad composicional entre linajes.","sin resolver","vigente"
"C-025","Con un modelo NDCH que permitió dos vectores de composición, la matriz de rRNA de Cox et al. recuperó la topología del eocito.","matriz de rRNA de Cox et al. bajo NDCH","respaldado_por","topología del eocito","expresa","S08 Results; fig. 1B","no evaluado","media","La topología depende de representar heterogeneidad composicional entre linajes.","sin resolver","vigente"
"C-026","Cox et al. aplicaron modelos CAT para representar heterogeneidad composicional entre sitios en las matrices proteicas.","análisis proteico de Cox et al. 2008","usa_metodo*","CAT y CAT-GTR","expresa","S08 métodos: Protein analyses","no evaluado","alta","El método está especificado por los autores.","resuelta","vigente"
"C-027","Los resultados de Cox et al. muestran que un mismo conjunto puede cambiar de topología cuando se representa la heterogeneidad composicional ignorada por un modelo homogéneo.","topología profunda de Eukaryota","depende_de_modelo*","representación de heterogeneidad composicional","sintesis(C-024, C-025, C-026)","S08 Results; Discussion","no evaluado","alta","La comparación se hizo dentro del mismo estudio y con los mismos datos básicos.","parcialmente resuelta","vigente"
"C-028","La matriz original del análisis de Williams et al. contenía 35 genes.","matriz original de Williams et al. 2020","tiene_valor_medido","35 genes","expresa","S10 §Methods, tabla 1","no evaluado","alta","La fila registra una sola dimensión de matriz; las topologías comparadas se documentan en filas separadas.","resuelta","vigente"
"C-029","Bajo LG+G4+F, Williams et al. obtuvieron log-verosimilitudes de −684701.2 para dos dominios y −684716.1 para tres dominios.","comparación LG+G4+F de Williams et al. 2020","tiene_valor_medido","−684701.2 y −684716.1","expresa","S10 tabla 1","no evaluado","alta","Los valores se transcriben sin convertirlos a otra medida.","resuelta","vigente"
"C-030","Bajo LG+G4+F, la prueba AU de Williams et al. dio 0.771 para dos dominios y 0.229 para tres dominios.","prueba AU bajo LG+G4+F","tiene_valor_medido","0.771 y 0.229","expresa","S10 tabla 1","no evaluado","alta","Valores publicados de la prueba de topología.","resuelta","vigente"
